date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:21	36380/36380	---M-Z	200	added ('OK')	font/opentype	etag:W/%22978069f0ad782c55e596fecddf453c7df51a6180%22	https://use.typekit.net/af/6727e5/00000000000000007735c42c/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n6&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/6727e5/00000000000000007735c42c/30/a5bba	(from https://use.typekit.net/vkq2rvl.css)
20:51:21	20084/20084	---M--	200	added ('OK')	application/font-woff2	etag:%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/bb5c38/00000000000000007735c433/30/l652f	(from https://use.typekit.net/vkq2rvl.css)
20:51:21	21012/21012	---M--	200	added ('OK')	application/font-woff	etag:%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/bb5c38/00000000000000007735c433/30/d652f	(from https://use.typekit.net/vkq2rvl.css)
20:51:22	36624/36624	---M-Z	200	added ('OK')	font/opentype	etag:W/%224842dacf77217a6f6798bb5c0c33fc24b40303bf%22	https://use.typekit.net/af/bb5c38/00000000000000007735c433/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/bb5c38/00000000000000007735c433/30/a652f	(from https://use.typekit.net/vkq2rvl.css)
20:51:22	36688/36688	---M--	200	added ('OK')	application/font-woff2	etag:%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/l1f8b	(from https://use.typekit.net/vkq2rvl.css)
20:51:22	37924/37924	---M--	200	added ('OK')	application/font-woff	etag:%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/d1f8b	(from https://use.typekit.net/vkq2rvl.css)
20:51:23	56788/56788	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e71c62363438666a27ba796e540686feaef5f71c%22	https://use.typekit.net/af/cb3d34/00000000000000007735cc39/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i6&v=3	C:/Meus%20Sites/https___thunderbirdoni.com_/use.typekit.net/af/cb3d34/00000000000000007735cc39/30/a1f8b	(from https://use.typekit.net/vkq2rvl.css)
20:51:24	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202023%2023:51:22%20GMT	https://thunderbirdoni.com/c	C:/Meus%20Sites/https___thunderbirdoni.com_/thunderbirdoni.com/c.2a.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
20:51:25	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202023%2023:51:23%20GMT	https://thunderbirdoni.com/b	C:/Meus%20Sites/https___thunderbirdoni.com_/thunderbirdoni.com/b.2b.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
20:51:26	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202023%2023:51:24%20GMT	https://thunderbirdoni.com/POST	C:/Meus%20Sites/https___thunderbirdoni.com_/thunderbirdoni.com/POST.2c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
20:51:47	1/1	---M--	200	added ('OK')	text/plain	etag:%22638e95dc-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/vkq2rvl.css)
